model,variant,evaluation_mode,selected_feature_count,mrmr_used,adasyn_used,lambda,latent_var,threshold,accuracy,precision,recall,f1,pr_auc,threshold_mean,threshold_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std,confusion_matrix,num_folds,,,
DNN,ADASYN + mRMR-165,holdout,165,TRUE,TRUE,,,0.221745,0.909465,0.603448,0.448718,0.514706,0.467435,,,,,,,,,,,,,[[628, 23], [43, 35]],1
DNN,ADASYN + mRMR-165,stratified_kfold,165,TRUE,TRUE,,,,,,,,,0.129609,0.181933,0.883638,0.029722,0.490468,0.096601,0.581859,0.061879,0.524066,0.060108,0.453668,0.077625,"[[2992, 260], [164, 228]]",10,,,
DNN,ADASYN-only,holdout,196,FALSE,TRUE,,,0.016955,0.895748,0.511905,0.551282,0.530864,0.452093,,,,,,,,,,,,,[[610, 41], [35, 43]],1
DNN,ADASYN-only,stratified_kfold,196,FALSE,TRUE,,,,,,,,,0.065008,0.076217,0.882823,0.025768,0.478799,0.085944,0.579103,0.025435,0.520683,0.059201,0.440432,0.077849,"[[2990, 262], [165, 227]]",10,,,
DNN,Baseline,holdout,196,FALSE,FALSE,,,0.405515,0.901235,0.539474,0.525641,0.532468,0.486929,,,,,,,,,,,,,[[616, 35], [37, 41]],1
DNN,Baseline,stratified_kfold,196,FALSE,FALSE,,,,,,,,,0.390609,0.286864,0.886395,0.029675,0.49881,0.086269,0.594679,0.072619,0.53462,0.058382,0.447727,0.084402,"[[2997, 255], [159, 233]]",10,,,
DNN,mRMR-165,holdout,165,TRUE,FALSE,,,0.198818,0.902606,0.547945,0.512821,0.529801,0.52446,,,,,,,,,,,,,[[618, 33], [38, 40]],1
DNN,mRMR-165,stratified_kfold,165,TRUE,FALSE,,,,,,,,,0.3898,0.262378,0.890796,0.026537,0.513362,0.095322,0.591987,0.106235,0.540299,0.068,0.461019,0.091549,"[[3014, 238], [160, 232]]",10,,,
DeepLSE,ADASYN + mRMR-165,holdout,165,TRUE,TRUE,0.2,60,0.750624,0.876543,0.447368,0.653846,0.53125,0.537306,,,,,,,,,,,,,[[588, 63], [27, 51]],1
DeepLSE,ADASYN + mRMR-165,stratified_kfold,165,TRUE,TRUE,0.2,60,,,,,,,0.837735,0.099618,0.899573,0.024445,0.551911,0.099637,0.601923,0.101736,0.565087,0.065334,0.48616,0.056142,"[[3042, 210], [156, 236]]",10,,,
DeepLSE,ADASYN-only,holdout,196,FALSE,TRUE,0.3,20,0.61288,0.877915,0.45045,0.641026,0.529101,0.519735,,,,,,,,,,,,,[[590, 61], [28, 50]],1
DeepLSE,ADASYN-only,stratified_kfold,196,FALSE,TRUE,0.3,20,,,,,,,0.795181,0.118927,0.899291,0.023945,0.542151,0.083872,0.617949,0.091125,0.571014,0.066998,0.485741,0.070474,"[[3035, 217], [150, 242]]",10,,,
DeepLSE,Baseline,holdout,196,FALSE,FALSE,0.9,15,0.421467,0.897119,0.515789,0.628205,0.566474,0.5612,,,,,,,,,,,,,[[605, 46], [29, 49]],1
DeepLSE,Baseline,stratified_kfold,196,FALSE,FALSE,0.9,15,,,,,,,0.724995,0.245735,0.902585,0.023351,0.555171,0.098368,0.599551,0.053065,0.573915,0.073776,0.507512,0.077974,"[[3054, 198], [157, 235]]",10,,,
DeepLSE,mRMR-165,holdout,165,TRUE,FALSE,0.7,15,0.899822,0.916324,0.644068,0.487179,0.554745,0.543218,,,,,,,,,,,,,[[630, 21], [40, 38]],1
DeepLSE,mRMR-165,stratified_kfold,165,TRUE,FALSE,0.7,15,,,,,,,0.784554,0.142409,0.90123,0.02391,0.556108,0.099351,0.614359,0.052963,0.577417,0.057212,0.531095,0.087064,"[[3043, 209], [151, 241]]",10,,,